ExperimentTitle,SampleName,SampleDescription,SequencingDate,FileName,FileLocation
Seasonal Root and Needle Transcriptomics 2012,P1169_101,Needles.25_year.Early_June.1A,2014-07-29,4_140729_BC49TKACXX_P1169_101_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_101/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_101,Needles.25_year.Early_June.1A,2014-07-29,4_140729_BC49TKACXX_P1169_101_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_101/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_102,Needles.25_year.Early_June.1A,2014-07-29,4_140729_BC49TKACXX_P1169_102_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_102/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_102,Needles.25_year.Early_June.1A,2014-07-29,4_140729_BC49TKACXX_P1169_102_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_102/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_103,Needles.25_year.Early_June.1A,2014-07-29,4_140729_BC49TKACXX_P1169_103_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_103/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_103,Needles.25_year.Early_June.1A,2014-07-29,4_140729_BC49TKACXX_P1169_103_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_103/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_104,Needles.25_year.Late_June.1A,2014-07-29,4_140729_BC49TKACXX_P1169_104_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_104/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_104,Needles.25_year.Late_June.1A,2014-07-29,4_140729_BC49TKACXX_P1169_104_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_104/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_105,Needles.25_year.Late_June.1A,2014-07-29,1_140729_BC49TKACXX_P1169_105_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_105/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_105,Needles.25_year.Late_June.1A,2014-07-29,1_140729_BC49TKACXX_P1169_105_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_105/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_106,Needles.25_year.Late_June.1A,2014-07-29,1_140729_BC49TKACXX_P1169_106_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_106/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_106,Needles.25_year.Late_June.1A,2014-07-29,1_140729_BC49TKACXX_P1169_106_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_106/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_107,Needles.25_year.August.1A,2014-07-29,1_140729_BC49TKACXX_P1169_107_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_107/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_107,Needles.25_year.August.1A,2014-07-29,1_140729_BC49TKACXX_P1169_107_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_107/140729_BC49TKACXX
