Names;ammonium;Histidine;Asparagine;Arginine;Serine;Glutamine;Glycine;Aspartate;Glutamate;Threonine;Alanine;GABA;Proline;Ornithine;Lysine;Cysteine;Tyrosine;Methionine;Valine;norValine;Isoleucine;Leucine;Phenylalanine;Tryptophan
W19C1;0.805591808;0.208140929;0.170028406;1.84649085;0.383249234;1.130169703;0.567346263;0.953892992;1.335168178;0.127452792;0.501109551;0.278080545;0.100544228;0.511846024;0.225188311;2.884697359;0.08278527;0.040150803;0.235850093;-0.335908633;4.698355109;0.387869645;0.069804236;0.02914899
W19C2;0.744017848;0.219472867;0.135554562;1.393880389;0.345033596;0.917196267;0.441671841;0.886117409;1.449479057;0.117157236;0.419432341;0.226516114;0.105456899;0.237250572;1.712814784;3.005690853;0.091347999;0.045252513;0.217137146;-0.338409475;4.668288232;0.352179944;0.061022027;0.026700788
W19C3;1.125672931;0.411613472;0.686412904;5.172052498;0.604116054;2.463530597;0.679209236;2.304859263;2.28657813;0.241197191;0.780753991;0.264955765;0.198981538;0.48929049;0.467936038;1.890952704;0.163155599;0.043789232;0.309244733;-0.360620267;2.049057601;0.598877746;0.064092747;0.075980887
W19C4;0.979674671;0.274210356;0.167510372;2.357402182;0.478039581;1.420021111;0.632839562;1.247066341;1.490161033;0.162823816;0.596978159;0.216134992;0.1091345;0.451279627;0;3.51901122;0.096660753;0.04881903;0.222186589;-0.346981263;3.253966899;0.394431719;0.05679994;0.036688926
W19C5;0.999965473;0.258018894;0.261135214;2.39110477;0.465592111;1.299983025;0.630005458;0.901083956;1.496649376;0.158196305;0.488315939;0.254207347;0.141396806;0.221016232;0.333142202;3.406972886;0.099852061;0.044829539;0.239988063;-0.322580645;2.60308544;0.451523854;0.081988627;0.037250984
W19F1;1.363180671;0.336053321;0.241145121;3.989272663;0.552801437;1.753758498;0.503992496;1.329861637;1.96241356;0.198174968;0.482423349;0.203065586;0.167621828;0.519355486;0.397733017;2.162245836;0.124222626;0.041127698;0.273664457;-0.347342827;2.268208081;0.518027182;0.064044562;0.062448254
W19F2;1.013818717;0.381728425;0.297105418;5.162305513;0.63447578;2.534592436;0.611096481;1.459259849;2.295501383;0.248203883;0.6775551;0.299925273;0.237270245;0.638997931;0.488093174;1.595448721;0.172265651;0.034022666;0.277306484;-0.337723742;1.671568734;0.50058423;0.070809671;0.071939456
W19F3;1.256336227;0.374236629;0.647448251;5.018407447;0.591647649;2.425663935;0.624142574;2.225443849;2.124474189;0.22867411;0.706918458;0.202490381;0.192729455;0.490700794;0.457832244;1.75358032;0.1630837;0.037440999;0.302010021;-0.342114266;1.872024604;0.57641014;0.07027381;0.075142238
W19F5;1.337856277;0.3451344;0.469029129;5.057211868;0.599512434;2.159089289;0.720098213;1.987601097;2.587432723;0.196885551;0.672158612;0.254186805;0.186908933;0.44097368;0.564933228;1.408837107;0.14398367;0.029532647;0.334393835;-0.324675325;0.123676976;6.669594129;0.044978609;0.0811954
W20C1;0.915420322;0.208250966;0.295142184;3.301675298;0.337860267;0.11777966;0.506266571;0.860728845;1.355741379;0.169429723;0.644556785;0.285777486;0.092911463;0.438342862;0.318225354;2.166190374;0.062938846;0.058078538;0.155149057;-0.333778371;0.059868861;15.05883887;0.098497347;0.051252383
