Name;Ammonium;Histidine;Arginine;Serine;Glycine;Aspartate;Glutamate;Threonine;Alanine;Proline;Lysine;Tyrosine;Methionine;Valine;Isoleucine;Leucine;Phenylalanine
W19C1;30.43159659;4.983392371;10.36881511;21.63234154;29.19938059;24.20981799;20.50598907;16.45275355;23.37989337;16.48796015;15.89528563;2.688637738;1.267480108;13.453894;9.164165806;19.79528936;8.671758787
W19C2;11.29096435;2.410899423;5.154444082;10.36007251;14.27406037;9.320560546;8.385424484;7.701914574;9.985013781;7.855472022;6.540441371;1.481206957;0.780179799;6.420715103;4.409016039;9.483902002;4.698973097
W19C3;37.72543334;7.096175523;15.82673638;29.25017223;40.66633508;30.14113748;25.50576475;23.21383344;30.24676791;22.68070584;19.83027688;4.140420989;2.520235613;18.02046747;12.15160571;25.86409985;12.92849106
W19C4;37.45302943;6.304482835;12.4984395;26.12384167;34.73707846;30.25669433;25.47188221;20.65073447;28.45469231;19.94310522;20.27557324;3.352663537;2.008102863;16.79426738;11.4011111;24.48360789;10.88686937
W19C5;31.39695187;5.186360507;10.86272567;22.28601222;29.88516101;25.77832969;21.88443094;17.55439685;24.93966215;17.60128687;17.68670916;2.456784995;2.021628313;14.32144057;9.604673205;21.01483028;9.063154215
W19F1;38.36220694;6.613229552;14.13801005;27.67141531;38.42494629;28.92281994;24.41999959;22.80961614;29.49443249;22.14142045;19.70003268;3.79542662;2.327617934;17.46749699;11.8928299;24.63562298;11.53266632
W19F2;39.8608027;8.016329443;16.84282239;31.53786056;43.23360974;31.99358889;27.37282147;26.37798278;33.00689895;24.50398868;21.47074935;4.232844454;2.834067905;19.29278545;13.05964616;27.46413449;13.5119788
W19F3;41.15245605;7.743227234;16.53547836;30.33091873;42.87544482;34.0164796;28.74518631;25.36784104;34.02323727;24.8454029;23.4957323;3.992980329;2.981908219;19.92152326;13.39550087;28.51853334;13.10053224
W19F4;40.0387347;7.145125213;14.55591127;28.09736334;40.26633339;29.85868278;25.15029235;23.08626506;30.80741172;22.89737872;20.37009751;3.744656158;2.56640611;17.95301225;11.91471261;25.44157409;11.8457303
W19F5;35.32293234;8.610155534;18.0529926;34.77708831;46.50464766;31.8402507;27.07206203;25.75525943;33.4782699;25.34872081;22.05056404;4.896531778;3.206602809;20.28079931;13.64305249;29.25243066;14.34847458
