Name;starch
W19C1;4.972870367
W19C2;4.800413308
W19C3;3.910802096
W19C4;4.626054054
W19C5;4.475480341
W19F1;4.265246482
W19F2;4.069209279
W19F3;4.083694716
W19F4;4.509508595
W19F5;4.284427408
W20C1;5.524742815
W20C2;6.686055447
W20C3;5.91344084
W20C4;5.669272517
W20C5;6.408805876
W20F1;5.386970172
W20F2;4.183628434
W20F3;5.378219306
W20F4;6.531989201
W20F5;7.389529329
W21C1;7.462434196
W21C2;8.222714865
W21C3;7.664464756
W21C4;9.688932556
W21C5;6.218330397
W21F1;6.352049503
W21F2;6.19888182
W21F3;4.79986246
W21F4;4.255482354
W21F5;5.435296345
W22C1;9.191374383
W22C2;10.74892551
W22C3;7.142005653
W22C4;8.474849962
W22C5;7.007105307
W22F1;8.910851972
W22F2;7.246775203
W22F3;8.134918434
W22F4;7.384691989
W22F5;6.936114868
W23C1;7.31850376
W23C2;6.801616062
W23C3;8.00096106
W23C4;8.51728034
W23C5;6.581189062
W23F1;4.819530286
W23F2;3.773384007
W23F3;3.989877935
W23F4;4.069296442
W23F5;3.96055644
W24C1;8.652629314
W24C2;8.69551238
W24C3;8.988536647
W24C4;8.217846451
W24C5;6.667861904
W24F1;6.667808043
W24F2;3.37074259
W24F3;6.379052638
W24F4;4.038883521
W24F5;5.139610442
W25C1;7.35248406
W25C2;8.925099783
W25C3;8.558729836
W25C4;9.07299749
W25C5;9.818747849
W25F1;4.915823505
W25F2;6.759201083
W25F3;4.648904321
W25F4;5.573275756
W25F5;6.0341604
W26C1;6.5105249
W26C2;5.825810187
W26C3;6.368429606
W26C4;7.272066631
W26C5;5.151719948
W26F1;4.337366095
W26F2;5.975169366
W26F3;6.382481468
W26F4;6.357678626
W26F5;5.187810694
W28C1;7.0262951
W28C2;6.660332895
W28C3;5.200505726
W28C4;4.844107763
W28C5;5.032223061
W28F1;4.833074665
W28F2;5.519249031
W28F3;5.534778471
W28F4;6.139761707
W28F5;3.247789868
W31C1;4.279737161
W31C2;4.591187975
W31C3;5.238990321
W31C4;4.609956655
W31C5;4.805075007
W31F1;2.073271971
W31F2;2.701921033
W31F3;2.99521929
W31F4;3.06140442
W31F5;2.994213943
W32C1;3.682904898
W32C2;3.983745209
W32C3;5.114847619
W32C4;3.364845554
W32C5;3.435463501
W32F1;1.50289715
W32F2;2.440289831
W32F3;2.062558014
W32F4;1.78240447
W32F5;2.757677589
W34C1;3.676105555
W34C2;
W34C3;2.613931223
W34C4;2.388150298
W34C5;3.604808605
W34F1;2.679694654
W34F2;2.93440014
W34F3;2.807694925
W34F4;2.949496958
W34F5;3.0948425
W35C1;4.416044502
W35C2;3.833089094
W35C3;3.252679095
W35C4;3.415829793
W35C5;3.330376318
W35F1;2.297815317
W35F2;2.38281
W35F3;3.941114578
W35F4;3.418239535
W35F5;2.85728703
W36C1;3.218391625
W36C2;3.328317764
W36C3;3.23347731
W36C4;3.42001564
W36C5;2.970776612
W36F1;2.724039294
W36F2;3.069258813
W36F3;2.800336876
W36F4;3.236937225
W36F5;3.509252962
W37C1;2.625885507
W37C2;3.101051149
W37C3;3.035893538
W37C4;1.996364566
W37C5;2.594326331
W37F1;2.789698504
W37F2;1.837819608
W37F3;3.282294721
W37F4;3.338702565
W37F5;3.348190712
W38C1;2.899725979
W38C2;2.927578831
W38C3;2.968535531
W38C4;3.072908865
W38C5;3.237752011
W38F1;2.412330398
W38F2;2.421803071
W38F3;2.499689356
W38F4;3.269853057
W38F5;3.498901521
W39C1;3.410502952
W39C2;3.867591064
W39C3;3.032298587
W39C4;4.016574881
W39C5;3.746216846
W39F1;
W39F2;2.845274855
W39F3;2.923469135
W39F4;2.568216873
W39F5;2.927610289
W40C1;3.599927307
W40C2;3.70721546
W40C3;3.49141236
W40C4;3.255299624
W40C5;3.417267225
W40F1;2.904947185
W40F2;3.707275281
W40F3;3.865147403
W40F4;3.729498143
W40F5;3.159382994
W41C1;2.488179584
W41C2;2.305500089
W41C3;2.364643618
W41C4;2.432867671
W41C5;3.30437909
W41F1;3.10333603
W41F2;3.073825309
W41F3;3.344831184
W41F4;3.612421761
W41F5;4.273263999
