Gene	W19C	W20C	W21C	W22C	W23C	W24C	W25C	W26C	W28C	W31C	W32C	W34C	W35C	W36C	W37C	W38C	W39C	W40C	W41C	W19F	W20F	W21F	W22F	W23F	W24F	W25F	W26F	W28F	W31F	W32F	W34F	W35F	W36F	W37F	W38F	W39F	W40F	W41F
MA_10064529g0010	-0.285138937	-0.285138937	-0.285138937	3.129021306	-0.285138937	-0.285138937	-0.285138937	-0.285138937	2.755882216	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	-0.285138937	4.094959269
MA_101378g0010	0.045729138	-0.393188775	-0.403518763	-0.625737509	-0.735768515	-0.516935396	-0.247215487	-0.699640657	0.817109475	-0.188526354	-0.372234725	-0.195665866	-0.557595944	-0.488994638	0.119106751	0.476193795	0.241762612	2.006338538	2.68156832	-0.615119196	-0.638637891	-0.609836658	-0.656592428	-0.69586667	1.679382461	-0.831728168	-0.484885339	-0.60568236	-0.50737027	-0.772646387	-0.803359384	-0.406639721	-0.885689109	0.279293903	-0.012817239	0.60084804	2.063570118	2.940990297
MA_10364691g0010	-0.162221421	-0.162221421	6.002192582	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421
MA_10385255g0010	0.626047285	-0.779366019	1.097267918	0.5491278	1.790965386	2.894799726	0.960720721	2.205490315	1.621804204	0.419554718	-0.779366019	-0.195620049	-0.779366019	-0.298380782	-0.146028762	-0.779366019	-0.779366019	-0.128624408	-0.779366019	-0.779366019	-0.779366019	-0.268254258	-0.233740864	-0.11574875	-0.203441661	-0.779366019	1.965923548	0.49628487	0.3460421	-0.134966734	-0.779366019	-0.779366019	-0.779366019	-0.779366019	-0.779366019	-0.779366019	-0.779366019	-0.779366019
MA_10431590g0010	-0.29427771	0.745393144	2.109033099	0.330025445	-0.400116408	-1.228481644	0.852092362	0.714441877	-1.228481644	-0.384805409	-1.228481644	0.499043019	-0.160064737	-1.228481644	-1.228481644	-1.228481644	-0.260409674	-1.228481644	-1.228481644	0.836591688	0.724843529	0.993450005	2.487653626	0.797977693	-0.112133612	0.671977848	-0.571399476	0.845068798	-1.228481644	0.067630744	-0.433416218	0.09051818	-1.228481644	-0.226216499	0.790420314	1.815557807	-0.318595403	0.074532411
MA_10435683g0020	-1.063073404	-1.063073404	1.002290118	0.730360806	-0.116534235	-1.063073404	0.127370473	-1.063073404	-0.106143629	1.179149078	1.293854348	0.905327462	0.175284846	0.71175162	0.078291039	0.17087148	0.997603674	-1.063073404	-1.063073404	-1.063073404	0.642025379	-1.063073404	0.954462203	1.038747692	-1.063073404	-0.16534907	1.0867506	-0.052080354	3.16324683	0.417259833	-0.159481778	-1.063073404	0.434755924	-1.063073404	0.373213313	-1.063073404	-1.063073404	-1.063073404
MA_10657g0010	1.788243259	-0.467255503	-1.814687878	-0.686545062	0.128239655	0.973080903	-0.154954382	-0.518879532	-0.33483838	-0.718889337	-1.007365992	-0.20473684	-0.863776905	0.345185604	2.220837134	-1.516115475	-0.744636178	2.04373455	1.623440856	0.107511634	-0.25384665	-0.164648987	-0.539032044	-1.556346683	-0.293579646	0.070175306	-1.212417375	0.389674109	-0.656284561	1.465139145	0.017912465	-0.085956948	-0.07156171	1.651967243	-0.013594415	-0.505748342	0.995620248	0.564936714
MA_1083g0010	-0.392457377	-0.653332492	-0.776610885	-0.339462209	-0.685987648	-1.19467643	-0.470719632	-0.374018197	-0.252457183	0.004445065	-0.496222526	-0.404703393	-0.165796767	0.007407652	0.078483904	0.396187141	0.2195779	2.015147794	2.616103874	-0.679041809	-0.799794513	-0.85558556	-0.632316548	-0.390223405	0.149335267	-0.892077779	-0.598477831	-0.710293082	-0.464062802	-0.899221537	-0.510751549	0.32543098	0.242966056	0.927559519	0.617265161	0.973941967	1.727752431	3.336686445
MA_111938g0010	-1.331998554	-0.998616547	-1.020475082	-0.697672427	-0.727898136	-0.591007737	0.050252305	0.230712876	1.713813011	1.198564265	2.137295046	1.238883811	0.531352664	0.442447642	0.582773652	-0.034730995	-0.16529436	-0.616449076	-0.96620348	-1.224130599	-1.204201528	-1.228363697	-0.898369915	-1.212332609	-0.316243734	-0.177418638	0.680309165	1.333621241	2.035299169	1.445151476	1.618153455	-0.250126077	0.022868671	-0.056585062	-0.017072624	-0.205869279	-0.350417973	-0.970020319
MA_165733g0010	-0.430778655	-0.089427885	-0.660560168	-0.66539097	0.375755037	0.163934166	0.83545943	2.930476857	-1.271403118	-0.029944357	-0.747563746	-0.512559064	-1.271403118	-0.060095224	-0.12456663	-1.271403118	-0.258764629	-1.271403118	-0.400510897	-0.149629983	0.263063695	0.866149638	-0.512842937	2.223381988	0.535863876	1.13800454	2.175726246	0.070336924	-0.574206722	-0.316167407	-0.776302286	-0.924727421	-0.199712255	-0.041011963	-0.345955531	-0.738379156	0.074018184	1.992539775
